공원명,위도,경도
도천공원,35.086528,126.756105
공원,35.047732,126.817416
신도공원,34.999365,126.801878
공원,35.068432,126.739891
공원,35.06975,126.741822
대호수변공원,35.040515,126.720022
남평실개천공원,35.044092,126.845626
공원,35.042355,126.847766
공원,35.040297,126.850359
공원,35.040031,126.850823
공원,35.040045,126.851316
공원,35.038477,126.852314
광교어린이공원,37.300401,127.081401
정암수목공원,37.298501,127.076201
역사공원,37.299801,127.065601
북고공원,,127.662608
무풍공원,35.972612,127.849161
앞산공원,35.967937,127.851167
단지공원,,127.659511
무주공원,36.009162,
소공원,36.009386,127.663876
소공원,36.008443,127.665408
벽천공원,36.009196,127.659961
벽천공원,36.008568,127.659697
어린이공원,36.010824,127.788932
소공원,36.001529,127.789689
소공원,,127.792025
소공원,36.011126,127.770392
장계공원,35.433974,127.353292
의암공원,35.383154,127.311154
장계어린이공원,,
뜬봉생태공원,35.354182,127.294023
서림공원,,
연곡공원,,
진동공원,,
재장공원,,
용계공원,,
덕화공원,,
봉황공원,,
수문공원,,
화상공원,,
중앙공원,,
염창공원,,
초록공원,35.8333692,127.0499878
설화공원,35.8334691,127.0294081
윤슬공원,35.8324415,127.0455333
노을공원,35.8332843,127.0412858
산들공원,35.8391906,127.0541614
병아리공원,35.8335799,127.0540985
비행기공원,35.8308576,127.0234643
씽씽공원,35.8306749,127.0215346
기차공원,35.8309169,127.0185971
고산문화공원,35.9731135,127.2326533
새누공원,35.7300558,127.1244643
우주공원,35.9706822,127.1120616
찬누리공원,35.9767881,127.1172001
소예공원,35.9719816,127.113905
만경강수변생태공원,35.9744638,127.2031989
장기늘푸름공원,35.9362195,127.1652179
깡쇠어린이공원,35.9178175,127.0730178
삼례충혼탑어린이공원,35.9078019,127.0709943
고산어린이공원,35.9762921,127.209547
서여공원,35.9175984,127.0732176
참사랑공원,35.9116689,127.0774923
정농함박골공원,35.8379928,127.0234065
정농통일공원,35.8368623,127.0233583
용소공원,35.8331454,127.0238487
지사울공원,35.8288755,127.0212126
대아전통문화공원,35.9892172,127.2624596
한풍루공원,36.002833,127.663229
어린이공원,,127.665726
제일공원,36.011206,127.660199
배매산 자연공원,35.9505321,127.1197362
중앙공원,35.9430816,127.1268386
매동공원,35.952055,127.1407432
명동자연공원,35.9447651,127.1182392
학골공원,35.9433504,127.1372115
다복공원,35.9395532,127.1319158
완주공설공원묘지,35.9382901,127.099064
삼례신금근린공원,35.9215474,127.0939313
고운산근린공원,35.9804671,127.2135668
신월희망공원,35.9263651,127.1625849
둔산어린이공원,35.9634281,127.1264435
제2어린이공원,35.9599157,127.1243945
신월햇살공원,35.9280614,127.1608183
둔산공원,35.9623447,127.1286894
우동공원,35.9612084,127.1238913
생강골공원,35.931149,127.1591568
봉동장기어린이공원,35.9387748,127.164389
삼봉 근린공원(4),35.9210929,127.118869
삼봉 근린공원(5),35.9203014,127.1124631
삼봉 어린이공원(6),35.9224015,127.1135159
삼봉 어린이공원(7),35.9212605,127.1158395
삼봉 어린이공원(8),35.919285,127.117582
삼봉 어린리공원(9),35.9200801,127.119822
삼봉 어린이공원(10),35.9232423,127.1236932
삼봉 어린이공원(11),35.9245778,127.1241065
삼례수도산근린공원,35.903682,127.0683484
소리공원,35.836145,127.0550234
새라공원,35.8332382,127.0570745
방  죽,37.60238,127.1027
만성지구 1,35.841164,127.0744742
만성어린 4,35.8378935,127.0759124
만성어린 2,35.8418104,127.0794203
만성문화,35.8492274,127.0790932
종광대,35.8308589,127.1513332
만성어린 3,35.8451605,127.0783565
동산구역,35.86992524,127.0792306
서찰방공원,,127.067871
찰방공원,35.833865,127.069704
오정공원,35.834749,127.060655
느티나무공원,35.8283609,127.1349598
건산공원,35.8318687,127.1425954
원장동공원,35.841451,127.055235
만성지구 2,35.8351751,127.0712343
엽순공원,35.843201,127.060326
송천유남공원,35.8634308,127.130367
에코시티7호,35.879433,127.124867
에코시티8호,35.873445,127.139558
에코시티1호,35.876815,127.114373
에코시티2호,35.876016,127.114604
에코시티3호,35.877129,
여울목공원,35.85229684,127.1186639
월평공원,35.835815,127.073567
월방공원,,127.072726
월방공원,35.833273,127.071389
기린공원,35.82258424,127.1692571
마당재공원,35.8232288,127.162955
기지재,35.839791,127.066298
여의공원,35.8712059,127.075394
179호 붓내구역,35.8680381,127.1235233
160호 붓내구역,35.8687265,127.122497
우아구역,35.8432098,127.1650066
원중공원,35.843344,127.063676
정문공원,35.835826,127.059737
중동공원,35.833591,127.061058
만성어린 5,35.8398361,127.0719803
만성수변,35.8435031,127.0704111
만성어린 1,35.8456323,127.0817119
비둘기공원,37.441714,126.794185
은행공원,37.44236285,126.7984214
정왕1공원,37.3571747,126.752319
정왕2공원,37.35875938,126.754915
정왕3공원,37.35304645,126.740217
정왕4공원,37.35366266,126.7430443
정왕5공원,37.35198074,126.743859
정왕6공원,37.35264631,126.7456561
중앙공원,37.34910664,126.735555
북일길공원,35.8429704,127.1551273
안골공원,35.8407786,127.1570832
안골노인복지공원,35.8381589,127.1571397
언덕공원,35.8353115,127.1535205
팔과공원,35.8554553,127.095419
팔복지구 3호공원,35.8558169,127.0932998
신덕공원,35.8376161,127.1662817
중상보공원,35.8304932,127.1711276
아람길공원,35.8308192,127.1675625
팔복공원,35.85144205,127.0870282
붓내공원,35.868031,127.1253815
솔내공원,35.8668845,127.1268701
송천제2호공원,35.8612567,127.1174795
송천유적공원,35.864918,127.1187477
나들목공원,35.8754524,127.0556506
아중18호공원,35.8344393,127.1693156
하늘공원,35.8452358,127.1069502
쇠똥구리공원,35.85229684,127.1186639
반딧불이공원,35.85229684,127.1186639
어린이공원7(안),,
서촌공원,37.34855835,126.7267074
희망공원,37.33593345,126.715039
